ticker,date,open,high,low,close,dollar_volume,volume,prev_close,gap_up,intraday_gain,sum_gap_intraday,exchange,shares_outstanding,sector,market_cap,dayofweek
BPTH,2019-03-07,18.2000007629395,73.5199966430664,17.0100002288818,38.8600006103516,1402037734,36079200,12.0200004577637,51.4143100650561,303.956008577619,355.370318642675,nasdaq,1760000,Healthcare,21155201,Thur
NBY,2019-06-10,1.10000002384186,3.59999990463257,0.889999985694885,3.09999990463257,164611855,53100600,0.319999992847443,243.750015133992,227.272711509516,471.022726643508,Amex,18990000,Healthcare,6076800,Mon
VISL,2019-07-10,39.4799995422363,48,24,24.6000003814697,150110014,6102033,9.89999961853027,298.787889530216,21.5805485221671,320.368438052383,nasdaq,2250000,Technology,22274999,Wed
NILE,2019-08-19,8,10.6800003051758,4.59999990463257,4.80000019073486,73107843,15230800,2.05999994277954,288.349525350261,33.5000038146972,321.849529164958,nyse,1174493,Industrials,2419456,Mon
BIMI,2019-10-14,7.75,48.9500007629395,7.55000019073486,45,242673300,5392740,7.40000009536743,4.72972838002632,531.612913070186,536.342641450213,nasdaq,8070000,Healthcare,59718001,Mon
DTSS,2019-10-15,0.9200000166893,7.3899998664856,0.9200000166893,3.33999991416931,43529551,13032800,0.892000019550324,3.13901306337329,703.260840481194,706.399853544567,nasdaq,20940000,Technology,18678480,Tue
BNGO,2019-10-16,1.12000000476837,4.69999980926514,1.04999995231628,2.84999990463257,98021757,34393600,0.550000011920929,103.636360089641,319.64283832634,423.279198415981,nasdaq,10900000,Healthcare,5995000,Wed
NXTC,2019-11-05,25.5,109,25.5,92.2200012207031,734716750,7967000,26.4300003051758,-3.51872983139414,327.450980392157,323.932250560763,nasdaq,22720000,Healthcare,600489607,Tue
WAFU,2019-11-21,1.41600000858307,6.23999977111816,1.375,2.75,13853675,5037700,1.25999999046326,12.3809539127422,340.677947266559,353.058901179301,nasdaq,4380000,Consumer Defensive,5518800,Thur
ASLN,2019-11-22,0.654999971389771,2.98000001907349,0.654999971389771,1.73000001907349,22699849,13121300,0.439999997615814,48.8636306679446,354.961854845667,403.825485513611,nasdaq,160490000,Healthcare,70615600,Fri
